actor_id,first_name,last_name,last_update
1,PENELOPE,GUINESS,2020-02-15 04:34:33-05
2,NICK,WAHLBERG,2020-02-15 04:34:33-05
3,ED,CHASE,2020-02-15 04:34:33-05
4,JENNIFER,DAVIS,2020-02-15 04:34:33-05
5,JOHNNY,LOLLOBRIGIDA,2020-02-15 04:34:33-05
6,BETTE,NICHOLSON,2020-02-15 04:34:33-05
7,GRACE,MOSTEL,2020-02-15 04:34:33-05
8,MATTHEW,JOHANSSON,2020-02-15 04:34:33-05
9,JOE,SWANK,2020-02-15 04:34:33-05
10,CHRISTIAN,GABLE,2020-02-15 04:34:33-05
11,ZERO,CAGE,2020-02-15 04:34:33-05
12,KARL,BERRY,2020-02-15 04:34:33-05
13,UMA,WOOD,2020-02-15 04:34:33-05
14,VIVIEN,BERGEN,2020-02-15 04:34:33-05
15,CUBA,OLIVIER,2020-02-15 04:34:33-05
16,FRED,COSTNER,2020-02-15 04:34:33-05
17,HELEN,VOIGHT,2020-02-15 04:34:33-05
18,DAN,TORN,2020-02-15 04:34:33-05
19,BOB,FAWCETT,2020-02-15 04:34:33-05
20,LUCILLE,TRACY,2020-02-15 04:34:33-05
21,KIRSTEN,PALTROW,2020-02-15 04:34:33-05
22,ELVIS,MARX,2020-02-15 04:34:33-05
23,SANDRA,KILMER,2020-02-15 04:34:33-05
24,CAMERON,STREEP,2020-02-15 04:34:33-05
25,KEVIN,BLOOM,2020-02-15 04:34:33-05
26,RIP,CRAWFORD,2020-02-15 04:34:33-05
27,JULIA,MCQUEEN,2020-02-15 04:34:33-05
28,WOODY,HOFFMAN,2020-02-15 04:34:33-05
29,ALEC,WAYNE,2020-02-15 04:34:33-05
30,SANDRA,PECK,2020-02-15 04:34:33-05
31,SISSY,SOBIESKI,2020-02-15 04:34:33-05
32,TIM,HACKMAN,2020-02-15 04:34:33-05
33,MILLA,PECK,2020-02-15 04:34:33-05
34,AUDREY,OLIVIER,2020-02-15 04:34:33-05
35,JUDY,DEAN,2020-02-15 04:34:33-05
36,BURT,DUKAKIS,2020-02-15 04:34:33-05
