category_id,name,last_update
1,Action,2020-02-15 04:46:27-05
2,Animation,2020-02-15 04:46:27-05
3,Children,2020-02-15 04:46:27-05
4,Classics,2020-02-15 04:46:27-05
5,Comedy,2020-02-15 04:46:27-05
6,Documentary,2020-02-15 04:46:27-05
7,Drama,2020-02-15 04:46:27-05
8,Family,2020-02-15 04:46:27-05
9,Foreign,2020-02-15 04:46:27-05
10,Games,2020-02-15 04:46:27-05
11,Horror,2020-02-15 04:46:27-05
12,Music,2020-02-15 04:46:27-05
13,New,2020-02-15 04:46:27-05
14,Sci-Fi,2020-02-15 04:46:27-05
15,Sports,2020-02-15 04:46:27-05
16,Travel,2020-02-15 04:46:27-05
