city_id,city,country_id,last_update
1,A Corua (La Corua),87,2020-02-15 04:45:25-05
2,Abha,82,2020-02-15 04:45:25-05
3,Abu Dhabi,101,2020-02-15 04:45:25-05
4,Acua,60,2020-02-15 04:45:25-05
5,Adana,97,2020-02-15 04:45:25-05
6,Addis Abeba,31,2020-02-15 04:45:25-05
7,Aden,107,2020-02-15 04:45:25-05
8,Adoni,44,2020-02-15 04:45:25-05
9,Ahmadnagar,44,2020-02-15 04:45:25-05
10,Akishima,50,2020-02-15 04:45:25-05
11,Akron,103,2020-02-15 04:45:25-05
12,al-Ayn,101,2020-02-15 04:45:25-05
13,al-Hawiya,82,2020-02-15 04:45:25-05
14,al-Manama,11,2020-02-15 04:45:25-05
15,al-Qadarif,89,2020-02-15 04:45:25-05
16,al-Qatif,82,2020-02-15 04:45:25-05
17,Alessandria,49,2020-02-15 04:45:25-05
18,Allappuzha (Alleppey),44,2020-02-15 04:45:25-05
19,Allende,60,2020-02-15 04:45:25-05
20,Almirante Brown,6,2020-02-15 04:45:25-05
21,Alvorada,15,2020-02-15 04:45:25-05
22,Ambattur,44,2020-02-15 04:45:25-05
23,Amersfoort,67,2020-02-15 04:45:25-05
24,Amroha,44,2020-02-15 04:45:25-05
25,Angra dos Reis,15,2020-02-15 04:45:25-05
26,Anpolis,15,2020-02-15 04:45:25-05
27,Antofagasta,22,2020-02-15 04:45:25-05
28,Aparecida de Goinia,15,2020-02-15 04:45:25-05
29,Apeldoorn,67,2020-02-15 04:45:25-05
30,Araatuba,15,2020-02-15 04:45:25-05
31,Arak,46,2020-02-15 04:45:25-05
32,Arecibo,77,2020-02-15 04:45:25-05
33,Arlington,103,2020-02-15 04:45:25-05
34,Ashdod,48,2020-02-15 04:45:25-05
35,Ashgabat,98,2020-02-15 04:45:25-05
36,Ashqelon,48,2020-02-15 04:45:25-05
37,Asuncin,73,2020-02-15 04:45:25-05
38,Athenai,39,2020-02-15 04:45:25-05
39,Atinsk,80,2020-02-15 04:45:25-05
40,Atlixco,60,2020-02-15 04:45:25-05
41,Augusta-Richmond County,103,2020-02-15 04:45:25-05
42,Aurora,103,2020-02-15 04:45:25-05
43,Avellaneda,6,2020-02-15 04:45:25-05
44,Bag,15,2020-02-15 04:45:25-05
45,Baha Blanca,6,2020-02-15 04:45:25-05
46,Baicheng,23,2020-02-15 04:45:25-05
47,Baiyin,23,2020-02-15 04:45:25-05
48,Baku,10,2020-02-15 04:45:25-05
49,Balaiha,80,2020-02-15 04:45:25-05
50,Balikesir,97,2020-02-15 04:45:25-05
51,Balurghat,44,2020-02-15 04:45:25-05
52,Bamenda,19,2020-02-15 04:45:25-05
53,Bandar Seri Begawan,16,2020-02-15 04:45:25-05
54,Banjul,37,2020-02-15 04:45:25-05
55,Barcelona,104,2020-02-15 04:45:25-05
56,Basel,91,2020-02-15 04:45:25-05
57,Bat Yam,48,2020-02-15 04:45:25-05
58,Batman,97,2020-02-15 04:45:25-05
59,Batna,2,2020-02-15 04:45:25-05
60,Battambang,18,2020-02-15 04:45:25-05
61,Baybay,75,2020-02-15 04:45:25-05
62,Bayugan,75,2020-02-15 04:45:25-05
63,Bchar,2,2020-02-15 04:45:25-05
64,Beira,63,2020-02-15 04:45:25-05
65,Bellevue,103,2020-02-15 04:45:25-05
66,Belm,15,2020-02-15 04:45:25-05
67,Benguela,4,2020-02-15 04:45:25-05
68,Beni-Mellal,62,2020-02-15 04:45:25-05
69,Benin City,69,2020-02-15 04:45:25-05
70,Bergamo,49,2020-02-15 04:45:25-05
71,Berhampore (Baharampur),44,2020-02-15 04:45:25-05
72,Bern,91,2020-02-15 04:45:25-05
73,Bhavnagar,44,2020-02-15 04:45:25-05
74,Bhilwara,44,2020-02-15 04:45:25-05
75,Bhimavaram,44,2020-02-15 04:45:25-05
76,Bhopal,44,2020-02-15 04:45:25-05
77,Bhusawal,44,2020-02-15 04:45:25-05
78,Bijapur,44,2020-02-15 04:45:25-05
79,Bilbays,29,2020-02-15 04:45:25-05
80,Binzhou,23,2020-02-15 04:45:25-05
81,Birgunj,66,2020-02-15 04:45:25-05
82,Bislig,75,2020-02-15 04:45:25-05
83,Blumenau,15,2020-02-15 04:45:25-05
84,Boa Vista,15,2020-02-15 04:45:25-05
85,Boksburg,85,2020-02-15 04:45:25-05
86,Botosani,78,2020-02-15 04:45:25-05
