country_id,country,last_update
1,Afghanistan,2020-02-15 04:44:00-05
2,Algeria,2020-02-15 04:44:00-05
3,American Samoa,2020-02-15 04:44:00-05
4,Angola,2020-02-15 04:44:00-05
5,Anguilla,2020-02-15 04:44:00-05
6,Argentina,2020-02-15 04:44:00-05
7,Armenia,2020-02-15 04:44:00-05
8,Australia,2020-02-15 04:44:00-05
9,Austria,2020-02-15 04:44:00-05
10,Azerbaijan,2020-02-15 04:44:00-05
11,Bahrain,2020-02-15 04:44:00-05
12,Bangladesh,2020-02-15 04:44:00-05
13,Belarus,2020-02-15 04:44:00-05
14,Bolivia,2020-02-15 04:44:00-05
15,Brazil,2020-02-15 04:44:00-05
16,Brunei,2020-02-15 04:44:00-05
17,Bulgaria,2020-02-15 04:44:00-05
18,Cambodia,2020-02-15 04:44:00-05
19,Cameroon,2020-02-15 04:44:00-05
20,Canada,2020-02-15 04:44:00-05
21,Chad,2020-02-15 04:44:00-05
22,Chile,2020-02-15 04:44:00-05
23,China,2020-02-15 04:44:00-05
24,Colombia,2020-02-15 04:44:00-05
25,"Congo, The Democratic Republic of the",2020-02-15 04:44:00-05
26,Czech Republic,2020-02-15 04:44:00-05
27,Dominican Republic,2020-02-15 04:44:00-05
28,Ecuador,2020-02-15 04:44:00-05
29,Egypt,2020-02-15 04:44:00-05
30,Estonia,2020-02-15 04:44:00-05
31,Ethiopia,2020-02-15 04:44:00-05
32,Faroe Islands,2020-02-15 04:44:00-05
33,Finland,2020-02-15 04:44:00-05
34,France,2020-02-15 04:44:00-05
35,French Guiana,2020-02-15 04:44:00-05
36,French Polynesia,2020-02-15 04:44:00-05
37,Gambia,2020-02-15 04:44:00-05
38,Germany,2020-02-15 04:44:00-05
39,Greece,2020-02-15 04:44:00-05
40,Greenland,2020-02-15 04:44:00-05
41,Holy See (Vatican City State),2020-02-15 04:44:00-05
42,Hong Kong,2020-02-15 04:44:00-05
43,Hungary,2020-02-15 04:44:00-05
44,India,2020-02-15 04:44:00-05
45,Indonesia,2020-02-15 04:44:00-05
46,Iran,2020-02-15 04:44:00-05
47,Iraq,2020-02-15 04:44:00-05
48,Israel,2020-02-15 04:44:00-05
49,Italy,2020-02-15 04:44:00-05
50,Japan,2020-02-15 04:44:00-05
51,Kazakstan,2020-02-15 04:44:00-05
52,Kenya,2020-02-15 04:44:00-05
53,Kuwait,2020-02-15 04:44:00-05
54,Latvia,2020-02-15 04:44:00-05
55,Liechtenstein,2020-02-15 04:44:00-05
56,Lithuania,2020-02-15 04:44:00-05
57,Madagascar,2020-02-15 04:44:00-05
58,Malawi,2020-02-15 04:44:00-05
59,Malaysia,2020-02-15 04:44:00-05
60,Mexico,2020-02-15 04:44:00-05
61,Moldova,2020-02-15 04:44:00-05
62,Morocco,2020-02-15 04:44:00-05
63,Mozambique,2020-02-15 04:44:00-05
64,Myanmar,2020-02-15 04:44:00-05
65,Nauru,2020-02-15 04:44:00-05
66,Nepal,2020-02-15 04:44:00-05
67,Netherlands,2020-02-15 04:44:00-05
68,New Zealand,2020-02-15 04:44:00-05
69,Nigeria,2020-02-15 04:44:00-05
70,North Korea,2020-02-15 04:44:00-05
71,Oman,2020-02-15 04:44:00-05
72,Pakistan,2020-02-15 04:44:00-05
73,Paraguay,2020-02-15 04:44:00-05
74,Peru,2020-02-15 04:44:00-05
75,Philippines,2020-02-15 04:44:00-05
76,Poland,2020-02-15 04:44:00-05
77,Puerto Rico,2020-02-15 04:44:00-05
78,Romania,2020-02-15 04:44:00-05
79,Runion,2020-02-15 04:44:00-05
80,Russian Federation,2020-02-15 04:44:00-05
81,Saint Vincent and the Grenadines,2020-02-15 04:44:00-05
82,Saudi Arabia,2020-02-15 04:44:00-05
83,Senegal,2020-02-15 04:44:00-05
84,Slovakia,2020-02-15 04:44:00-05
85,South Africa,2020-02-15 04:44:00-05
86,South Korea,2020-02-15 04:44:00-05
87,Spain,2020-02-15 04:44:00-05
88,Sri Lanka,2020-02-15 04:44:00-05
89,Sudan,2020-02-15 04:44:00-05
90,Sweden,2020-02-15 04:44:00-05
91,Switzerland,2020-02-15 04:44:00-05
92,Taiwan,2020-02-15 04:44:00-05
93,Tanzania,2020-02-15 04:44:00-05
94,Thailand,2020-02-15 04:44:00-05
95,Tonga,2020-02-15 04:44:00-05
96,Tunisia,2020-02-15 04:44:00-05
97,Turkey,2020-02-15 04:44:00-05
98,Turkmenistan,2020-02-15 04:44:00-05
99,Tuvalu,2020-02-15 04:44:00-05
100,Ukraine,2020-02-15 04:44:00-05
101,United Arab Emirates,2020-02-15 04:44:00-05
102,United Kingdom,2020-02-15 04:44:00-05
103,United States,2020-02-15 04:44:00-05
104,Venezuela,2020-02-15 04:44:00-05
105,Vietnam,2020-02-15 04:44:00-05
106,"Virgin Islands, U.S.",2020-02-15 04:44:00-05
107,Yemen,2020-02-15 04:44:00-05
108,Yugoslavia,2020-02-15 04:44:00-05
109,Zambia,2020-02-15 04:44:00-05
