inventory_id,film_id,store_id,last_update
1,1,1,2020-02-15 05:09:17-05
2,1,1,2020-02-15 05:09:17-05
3,1,1,2020-02-15 05:09:17-05
4,1,1,2020-02-15 05:09:17-05
5,1,2,2020-02-15 05:09:17-05
6,1,2,2020-02-15 05:09:17-05
7,1,2,2020-02-15 05:09:17-05
8,1,2,2020-02-15 05:09:17-05
9,2,2,2020-02-15 05:09:17-05
10,2,2,2020-02-15 05:09:17-05
11,2,2,2020-02-15 05:09:17-05
12,3,2,2020-02-15 05:09:17-05
13,3,2,2020-02-15 05:09:17-05
14,3,2,2020-02-15 05:09:17-05
15,3,2,2020-02-15 05:09:17-05
16,4,1,2020-02-15 05:09:17-05
17,4,1,2020-02-15 05:09:17-05
18,4,1,2020-02-15 05:09:17-05
19,4,1,2020-02-15 05:09:17-05
20,4,2,2020-02-15 05:09:17-05
21,4,2,2020-02-15 05:09:17-05
22,4,2,2020-02-15 05:09:17-05
23,5,2,2020-02-15 05:09:17-05
24,5,2,2020-02-15 05:09:17-05
25,5,2,2020-02-15 05:09:17-05
26,6,1,2020-02-15 05:09:17-05
27,6,1,2020-02-15 05:09:17-05
28,6,1,2020-02-15 05:09:17-05
29,6,2,2020-02-15 05:09:17-05
30,6,2,2020-02-15 05:09:17-05
31,6,2,2020-02-15 05:09:17-05
32,7,1,2020-02-15 05:09:17-05
33,7,1,2020-02-15 05:09:17-05
34,7,2,2020-02-15 05:09:17-05
35,7,2,2020-02-15 05:09:17-05
36,7,2,2020-02-15 05:09:17-05
37,8,2,2020-02-15 05:09:17-05
38,8,2,2020-02-15 05:09:17-05
39,8,2,2020-02-15 05:09:17-05
40,8,2,2020-02-15 05:09:17-05
41,9,1,2020-02-15 05:09:17-05
42,9,1,2020-02-15 05:09:17-05
43,9,1,2020-02-15 05:09:17-05
44,9,2,2020-02-15 05:09:17-05
45,9,2,2020-02-15 05:09:17-05
46,10,1,2020-02-15 05:09:17-05
47,10,1,2020-02-15 05:09:17-05
48,10,1,2020-02-15 05:09:17-05
49,10,1,2020-02-15 05:09:17-05
50,10,2,2020-02-15 05:09:17-05
51,10,2,2020-02-15 05:09:17-05
52,10,2,2020-02-15 05:09:17-05
53,11,1,2020-02-15 05:09:17-05
54,11,1,2020-02-15 05:09:17-05
55,11,1,2020-02-15 05:09:17-05
56,11,1,2020-02-15 05:09:17-05
57,11,2,2020-02-15 05:09:17-05
58,11,2,2020-02-15 05:09:17-05
59,11,2,2020-02-15 05:09:17-05
60,12,1,2020-02-15 05:09:17-05
61,12,1,2020-02-15 05:09:17-05
62,12,1,2020-02-15 05:09:17-05
63,12,2,2020-02-15 05:09:17-05
64,12,2,2020-02-15 05:09:17-05
65,12,2,2020-02-15 05:09:17-05
66,12,2,2020-02-15 05:09:17-05
67,13,2,2020-02-15 05:09:17-05
68,13,2,2020-02-15 05:09:17-05
69,13,2,2020-02-15 05:09:17-05
