payment_id,customer_id,staff_id,rental_id,amount,payment_date
16050,269,2,7,1.99,2020-01-24 16:40:19.996577-05
16051,269,1,98,0.99,2020-01-25 10:16:50.996577-05
16052,269,2,678,6.99,2020-01-28 16:44:14.996577-05
16053,269,2,703,0.99,2020-01-28 19:58:02.996577-05
16054,269,1,750,4.99,2020-01-29 03:10:06.996577-05
16055,269,2,1099,2.99,2020-01-31 07:23:14.996577-05
16056,270,1,193,1.99,2020-01-26 00:10:14.996577-05
16057,270,1,1040,4.99,2020-01-30 23:03:42.996577-05
16058,271,1,1096,8.99,2020-01-31 06:59:15.996577-05
16059,272,1,33,0.99,2020-01-24 21:47:17.996577-05
16060,272,1,405,6.99,2020-01-27 07:01:05.996577-05
16061,272,1,1041,6.99,2020-01-30 23:14:49.996577-05
16062,272,1,1072,0.99,2020-01-31 03:21:16.996577-05
16063,273,2,122,3.99,2020-01-25 13:14:47.996577-05
16064,273,2,980,0.99,2020-01-30 15:13:45.996577-05
16065,274,1,147,2.99,2020-01-25 17:46:16.996577-05
16066,274,1,208,4.99,2020-01-26 01:38:48.996577-05
16067,274,2,301,2.99,2020-01-26 14:34:40.996577-05
16068,274,1,394,5.99,2020-01-27 04:54:37.996577-05
16069,274,2,474,2.99,2020-01-27 15:40:22.996577-05
16070,274,1,892,4.99,2020-01-30 01:31:22.996577-05
16071,275,2,336,2.99,2020-01-26 20:43:49.996577-05
16072,276,1,736,3.99,2020-01-29 01:38:33.996577-05
16073,276,1,860,10.99,2020-01-29 20:13:42.996577-05
16074,277,2,308,6.99,2020-01-26 15:30:05.996577-05
16075,278,1,1092,4.99,2020-01-31 05:44:23.996577-05
16076,279,1,979,2.99,2020-01-30 15:05:37.996577-05
16077,279,2,1019,0.99,2020-01-30 20:33:33.996577-05
16078,280,1,1014,4.99,2020-01-30 20:07:42.996577-05
16079,281,2,650,2.99,2020-01-28 13:14:06.996577-05
16080,281,2,754,2.99,2020-01-29 03:47:25.996577-05
16081,282,2,48,1.99,2020-01-24 23:49:12.996577-05
16082,282,2,282,6.99,2020-01-26 12:24:52.996577-05
16083,282,2,564,0.99,2020-01-28 02:40:35.996577-05
16084,284,2,423,0.99,2020-01-27 09:01:23.996577-05
16085,284,2,791,0.99,2020-01-29 09:59:08.996577-05
16086,284,1,1145,6.99,2020-01-31 13:42:11.996577-05
16087,286,2,81,6.99,2020-01-25 05:43:45.996577-05
