film_id,category_id,last_update
1,6,2020-02-15 05:07:09-05
2,11,2020-02-15 05:07:09-05
3,6,2020-02-15 05:07:09-05
4,11,2020-02-15 05:07:09-05
5,8,2020-02-15 05:07:09-05
6,9,2020-02-15 05:07:09-05
7,5,2020-02-15 05:07:09-05
8,11,2020-02-15 05:07:09-05
9,11,2020-02-15 05:07:09-05
10,15,2020-02-15 05:07:09-05
11,9,2020-02-15 05:07:09-05
12,12,2020-02-15 05:07:09-05
13,11,2020-02-15 05:07:09-05
14,4,2020-02-15 05:07:09-05
15,9,2020-02-15 05:07:09-05
16,9,2020-02-15 05:07:09-05
17,12,2020-02-15 05:07:09-05
18,2,2020-02-15 05:07:09-05
19,1,2020-02-15 05:07:09-05
20,12,2020-02-15 05:07:09-05
21,1,2020-02-15 05:07:09-05
22,13,2020-02-15 05:07:09-05
23,2,2020-02-15 05:07:09-05
24,11,2020-02-15 05:07:09-05
25,13,2020-02-15 05:07:09-05
26,14,2020-02-15 05:07:09-05
27,15,2020-02-15 05:07:09-05
28,5,2020-02-15 05:07:09-05
29,1,2020-02-15 05:07:09-05
30,11,2020-02-15 05:07:09-05
31,8,2020-02-15 05:07:09-05
32,13,2020-02-15 05:07:09-05
33,7,2020-02-15 05:07:09-05
34,11,2020-02-15 05:07:09-05
35,11,2020-02-15 05:07:09-05
36,2,2020-02-15 05:07:09-05
37,4,2020-02-15 05:07:09-05
38,1,2020-02-15 05:07:09-05
39,14,2020-02-15 05:07:09-05
40,6,2020-02-15 05:07:09-05
41,16,2020-02-15 05:07:09-05
42,15,2020-02-15 05:07:09-05
43,8,2020-02-15 05:07:09-05
44,14,2020-02-15 05:07:09-05
45,13,2020-02-15 05:07:09-05
46,10,2020-02-15 05:07:09-05
47,9,2020-02-15 05:07:09-05
48,3,2020-02-15 05:07:09-05
49,14,2020-02-15 05:07:09-05
50,8,2020-02-15 05:07:09-05
51,12,2020-02-15 05:07:09-05
52,9,2020-02-15 05:07:09-05
53,8,2020-02-15 05:07:09-05
54,12,2020-02-15 05:07:09-05
55,14,2020-02-15 05:07:09-05
56,1,2020-02-15 05:07:09-05
57,16,2020-02-15 05:07:09-05
58,6,2020-02-15 05:07:09-05
59,3,2020-02-15 05:07:09-05
60,4,2020-02-15 05:07:09-05
61,7,2020-02-15 05:07:09-05
62,6,2020-02-15 05:07:09-05
63,8,2020-02-15 05:07:09-05
64,7,2020-02-15 05:07:09-05
65,11,2020-02-15 05:07:09-05
66,3,2020-02-15 05:07:09-05
67,1,2020-02-15 05:07:09-05
68,3,2020-02-15 05:07:09-05
69,14,2020-02-15 05:07:09-05
70,2,2020-02-15 05:07:09-05
71,8,2020-02-15 05:07:09-05
72,6,2020-02-15 05:07:09-05
73,14,2020-02-15 05:07:09-05
74,12,2020-02-15 05:07:09-05
75,16,2020-02-15 05:07:09-05
76,12,2020-02-15 05:07:09-05
77,13,2020-02-15 05:07:09-05
78,2,2020-02-15 05:07:09-05
79,7,2020-02-15 05:07:09-05
80,8,2020-02-15 05:07:09-05
81,14,2020-02-15 05:07:09-05
82,8,2020-02-15 05:07:09-05
83,8,2020-02-15 05:07:09-05
84,16,2020-02-15 05:07:09-05
85,6,2020-02-15 05:07:09-05
86,12,2020-02-15 05:07:09-05
87,16,2020-02-15 05:07:09-05
88,16,2020-02-15 05:07:09-05
89,2,2020-02-15 05:07:09-05
90,13,2020-02-15 05:07:09-05
91,4,2020-02-15 05:07:09-05
92,11,2020-02-15 05:07:09-05
93,13,2020-02-15 05:07:09-05
94,8,2020-02-15 05:07:09-05
95,13,2020-02-15 05:07:09-05
96,13,2020-02-15 05:07:09-05
97,1,2020-02-15 05:07:09-05
98,7,2020-02-15 05:07:09-05
99,5,2020-02-15 05:07:09-05
100,9,2020-02-15 05:07:09-05
101,6,2020-02-15 05:07:09-05
102,15,2020-02-15 05:07:09-05
103,16,2020-02-15 05:07:09-05
104,9,2020-02-15 05:07:09-05
105,1,2020-02-15 05:07:09-05
106,10,2020-02-15 05:07:09-05
107,7,2020-02-15 05:07:09-05
108,13,2020-02-15 05:07:09-05
109,13,2020-02-15 05:07:09-05
110,3,2020-02-15 05:07:09-05
111,1,2020-02-15 05:07:09-05
112,9,2020-02-15 05:07:09-05
113,15,2020-02-15 05:07:09-05
114,14,2020-02-15 05:07:09-05
115,1,2020-02-15 05:07:09-05
116,4,2020-02-15 05:07:09-05
117,10,2020-02-15 05:07:09-05
118,2,2020-02-15 05:07:09-05
119,5,2020-02-15 05:07:09-05
120,15,2020-02-15 05:07:09-05
121,2,2020-02-15 05:07:09-05
122,11,2020-02-15 05:07:09-05
123,16,2020-02-15 05:07:09-05
124,3,2020-02-15 05:07:09-05
125,16,2020-02-15 05:07:09-05
126,1,2020-02-15 05:07:09-05
127,5,2020-02-15 05:07:09-05
128,9,2020-02-15 05:07:09-05
129,6,2020-02-15 05:07:09-05
130,1,2020-02-15 05:07:09-05
131,4,2020-02-15 05:07:09-05
132,14,2020-02-15 05:07:09-05
133,12,2020-02-15 05:07:09-05
134,2,2020-02-15 05:07:09-05
135,15,2020-02-15 05:07:09-05
136,13,2020-02-15 05:07:09-05
137,14,2020-02-15 05:07:09-05
138,14,2020-02-15 05:07:09-05
139,8,2020-02-15 05:07:09-05
140,14,2020-02-15 05:07:09-05
141,10,2020-02-15 05:07:09-05
142,6,2020-02-15 05:07:09-05
143,7,2020-02-15 05:07:09-05
144,13,2020-02-15 05:07:09-05
145,8,2020-02-15 05:07:09-05
146,7,2020-02-15 05:07:09-05
147,8,2020-02-15 05:07:09-05
148,9,2020-02-15 05:07:09-05
149,3,2020-02-15 05:07:09-05
150,6,2020-02-15 05:07:09-05
151,14,2020-02-15 05:07:09-05
152,3,2020-02-15 05:07:09-05
153,14,2020-02-15 05:07:09-05
154,2,2020-02-15 05:07:09-05
155,13,2020-02-15 05:07:09-05
156,6,2020-02-15 05:07:09-05
157,3,2020-02-15 05:07:09-05
158,12,2020-02-15 05:07:09-05
159,5,2020-02-15 05:07:09-05
160,2,2020-02-15 05:07:09-05
161,12,2020-02-15 05:07:09-05
162,1,2020-02-15 05:07:09-05
163,13,2020-02-15 05:07:09-05
164,6,2020-02-15 05:07:09-05
165,14,2020-02-15 05:07:09-05
166,4,2020-02-15 05:07:09-05
167,16,2020-02-15 05:07:09-05
168,3,2020-02-15 05:07:09-05
169,16,2020-02-15 05:07:09-05
170,9,2020-02-15 05:07:09-05
171,11,2020-02-15 05:07:09-05
172,7,2020-02-15 05:07:09-05
173,7,2020-02-15 05:07:09-05
174,12,2020-02-15 05:07:09-05
175,8,2020-02-15 05:07:09-05
176,15,2020-02-15 05:07:09-05
177,14,2020-02-15 05:07:09-05
178,5,2020-02-15 05:07:09-05
179,7,2020-02-15 05:07:09-05
180,4,2020-02-15 05:07:09-05
181,16,2020-02-15 05:07:09-05
182,5,2020-02-15 05:07:09-05
183,8,2020-02-15 05:07:09-05
184,4,2020-02-15 05:07:09-05
185,9,2020-02-15 05:07:09-05
186,7,2020-02-15 05:07:09-05
187,15,2020-02-15 05:07:09-05
188,5,2020-02-15 05:07:09-05
189,10,2020-02-15 05:07:09-05
190,4,2020-02-15 05:07:09-05
191,3,2020-02-15 05:07:09-05
192,9,2020-02-15 05:07:09-05
193,2,2020-02-15 05:07:09-05
194,1,2020-02-15 05:07:09-05
195,14,2020-02-15 05:07:09-05
196,4,2020-02-15 05:07:09-05
197,15,2020-02-15 05:07:09-05
198,9,2020-02-15 05:07:09-05
199,6,2020-02-15 05:07:09-05
200,10,2020-02-15 05:07:09-05
201,9,2020-02-15 05:07:09-05
202,5,2020-02-15 05:07:09-05
203,14,2020-02-15 05:07:09-05
204,7,2020-02-15 05:07:09-05
205,1,2020-02-15 05:07:09-05
206,6,2020-02-15 05:07:09-05
207,9,2020-02-15 05:07:09-05
208,2,2020-02-15 05:07:09-05
209,7,2020-02-15 05:07:09-05
210,1,2020-02-15 05:07:09-05
211,10,2020-02-15 05:07:09-05
212,1,2020-02-15 05:07:09-05
213,8,2020-02-15 05:07:09-05
214,3,2020-02-15 05:07:09-05
215,10,2020-02-15 05:07:09-05
216,13,2020-02-15 05:07:09-05
217,10,2020-02-15 05:07:09-05
218,7,2020-02-15 05:07:09-05
219,6,2020-02-15 05:07:09-05
220,12,2020-02-15 05:07:09-05
221,6,2020-02-15 05:07:09-05
222,11,2020-02-15 05:07:09-05
223,2,2020-02-15 05:07:09-05
224,16,2020-02-15 05:07:09-05
225,7,2020-02-15 05:07:09-05
226,13,2020-02-15 05:07:09-05
227,10,2020-02-15 05:07:09-05
228,4,2020-02-15 05:07:09-05
229,1,2020-02-15 05:07:09-05
230,7,2020-02-15 05:07:09-05
231,8,2020-02-15 05:07:09-05
232,10,2020-02-15 05:07:09-05
233,16,2020-02-15 05:07:09-05
234,14,2020-02-15 05:07:09-05
235,14,2020-02-15 05:07:09-05
236,10,2020-02-15 05:07:09-05
237,15,2020-02-15 05:07:09-05
238,3,2020-02-15 05:07:09-05
239,2,2020-02-15 05:07:09-05
240,14,2020-02-15 05:07:09-05
241,2,2020-02-15 05:07:09-05
242,5,2020-02-15 05:07:09-05
243,2,2020-02-15 05:07:09-05
244,12,2020-02-15 05:07:09-05
245,2,2020-02-15 05:07:09-05
246,9,2020-02-15 05:07:09-05
247,5,2020-02-15 05:07:09-05
248,6,2020-02-15 05:07:09-05
249,4,2020-02-15 05:07:09-05
250,1,2020-02-15 05:07:09-05
251,13,2020-02-15 05:07:09-05
252,1,2020-02-15 05:07:09-05
253,1,2020-02-15 05:07:09-05
254,15,2020-02-15 05:07:09-05
255,12,2020-02-15 05:07:09-05
256,15,2020-02-15 05:07:09-05
